s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,79541.5,WILMINGTON,WILMINGTON,39.74023444,-75.550839221,318900000,UNITED STATES,79541.5
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,76676.38,NEW ORLEANS,NEW ORLEANS,29.953701483,-90.077749504,318900000,UNITED STATES,76676.38
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,164299.98,BALTIMORE,BALTIMORE,39.29058295,-76.609259843,318900000,UNITED STATES,164299.98
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,23887.47,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,23887.47
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,67457.19,NEW ORLEANS,NEW ORLEANS,29.953701483,-90.077749504,318900000,UNITED STATES,67457.19
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,226257.93,PHILADELPHIA,PHILADELPHIA,39.952283115,-75.162445645,318900000,UNITED STATES,226257.93
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,112222.48,PHILADELPHIA,PHILADELPHIA,39.952283115,-75.162445645,318900000,UNITED STATES,112222.48
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,93740.77,SAVANNAH,SAVANNAH,32.080910203,-81.091188258,318900000,UNITED STATES,93740.77
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,HOUSTON,HOUSTON,29.760582787,-95.369679229,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,37291.87,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,37291.87
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,90651.4,PHILADELPHIA,PHILADELPHIA,39.952283115,-75.162445645,318900000,UNITED STATES,90651.4
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,30859.04,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,30859.04
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,98190.82,PHILADELPHIA,PHILADELPHIA,39.952283115,-75.162445645,318900000,UNITED STATES,98190.82
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,23190.46,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,23190.46
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,21689.33,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,21689.33
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,30859.04,LOS ANGELES,LOS ANGELES,34.053491483,-118.245319794,318900000,UNITED STATES,30859.04
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,7234.7,HOUSTON,HOUSTON,29.760582787,-95.369679229,318900000,UNITED STATES,7234.7
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,BALTIMORE,BALTIMORE,39.29058295,-76.609259843,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,35610.84,SAVANNAH,SAVANNAH,32.080910203,-81.091188258,318900000,UNITED STATES,35610.84
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,13352.93,NEW ORLEANS,NEW ORLEANS,29.953701483,-90.077749504,318900000,UNITED STATES,13352.93
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,75055.2,SAVANNAH,SAVANNAH,32.080910203,-81.091188258,318900000,UNITED STATES,75055.2
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,32508.33,SAVANNAH,SAVANNAH,32.080910203,-81.091188258,318900000,UNITED STATES,32508.33
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,100877.66,NEW ORLEANS,NEW ORLEANS,29.953701483,-90.077749504,318900000,UNITED STATES,100877.66
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,558276.55,HOUSTON,HOUSTON,29.760582787,-95.369679229,318900000,UNITED STATES,558276.55
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,PHILADELPHIA,PHILADELPHIA,39.952283115,-75.162445645,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,20867.62,SAVANNAH,SAVANNAH,32.080910203,-81.091188258,318900000,UNITED STATES,20867.62
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,241230.65,WILMINGTON,WILMINGTON,39.74023444,-75.550839221,318900000,UNITED STATES,241230.65
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,528670.8,HOUSTON,HOUSTON,29.760582787,-95.369679229,318900000,UNITED STATES,528670.8
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,MIAMI,MIAMI,25.774812796,-80.197726986,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,PHILADELPHIA,PHILADELPHIA,39.952283115,-75.162445645,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,93202.56,SAVANNAH,SAVANNAH,32.080910203,-81.091188258,318900000,UNITED STATES,93202.56
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,NORFOLK,NORFOLK,36.846823884,-76.285058372,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,TACOMA,TACOMA,47.255129776,-122.441635799,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,BALTIMORE,BALTIMORE,39.29058295,-76.609259843,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,MIAMI,MIAMI,25.774812796,-80.197726986,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,83770.4,HOUSTON,HOUSTON,29.760582787,-95.369679229,318900000,UNITED STATES,83770.4
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,64603.97,NEW ORLEANS,NEW ORLEANS,29.953701483,-90.077749504,318900000,UNITED STATES,64603.97
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,LONG BEACH,LONG BEACH,33.76672318,-118.192397651,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,11668.72,HOUSTON,HOUSTON,29.760582787,-95.369679229,318900000,UNITED STATES,11668.72
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,166449.76,PHILADELPHIA,PHILADELPHIA,39.952283115,-75.162445645,318900000,UNITED STATES,166449.76
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,39749.98,HOUSTON,HOUSTON,29.760582787,-95.369679229,318900000,UNITED STATES,39749.98
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,27141.31,NEW YORK,NEW YORK,40.714550467,-74.007138913,318900000,UNITED STATES,27141.31
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,0.0,PHILADELPHIA,PHILADELPHIA,39.952283115,-75.162445645,318900000,UNITED STATES,0.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,1424268.81,NEW ORLEANS,NEW ORLEANS,29.953701483,-90.077749504,318900000,UNITED STATES,1424268.81
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,84032.0,SAVANNAH,SAVANNAH,32.080910203,-81.091188258,318900000,UNITED STATES,84032.0
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,41455.72,SAVANNAH,SAVANNAH,32.080910203,-81.091188258,318900000,UNITED STATES,41455.72
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,177717.12,NEW ORLEANS,NEW ORLEANS,29.953701483,-90.077749504,318900000,UNITED STATES,177717.12
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,84782.08,PHILADELPHIA,PHILADELPHIA,39.952283115,-75.162445645,318900000,UNITED STATES,84782.08
CHINA,CHINA,36.567728718,103.929544663,999,CHINA,39324.78,SAVANNAH,SAVANNAH,32.080910203,-81.091188258,318900000,UNITED STATES,39324.78
